Ngày,Tên tổ chức,URL trang,Ngành,Loại xếp hạng,Phân loại,Mức xếp hạng,Triển vọng,ISIN,PDF_VI,PDF_EN
30/04/2025,Công ty Cổ phần Dịch vụ Quản lý Tài sản Việt Nam,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dich-vu-qaan-ly-tai-san-viet-naa-id143597.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Công cụ nợ,BB-,,VPMCH2431001,https://cms.fiinratings.vn/UploadFile/30-04-2025/%5BVI%5DFiinRatings_Issue_Ratings_Release_VPMS_042025.pdf,
29/04/2025,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ky-thuong-viet-naa-id3842.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA-,Ổn định,,,
25/04/2025,Công ty Cổ phần Nước Biwase - Long An,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nuoc-biwase---long-an-id7305.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB,Ổn định,,https://cms.fiinratings.vn/UploadFile/25-04-2025/%5BVI%5DFiinRatings_BWE-LA_Rating-Release_042025.pdf,
25/04/2025,Công ty Tài Chính Trách Nhiệm Hữu Hạn Một Thành Viên Home Credit Việt Nam,https://fiinratings.vn/vi/ratings-fr/cong-ty-tai-chinh-trach-nhiea-hữa-hạn-mot-thanh-vien-hoae-credit-viet-naa-id593806.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Ổn định,,https://cms.fiinratings.vn/UploadFile/25-04-2025/VN_FiinRatings_HCVN_PA_Initial_Issuer_Credit_Rating_20250425.pdf,https://cms.fiinratings.vn/UploadFile/25-04-2025/EN_FiinRatings_HCVN_PA_Initial_Issuer_Credit_Rating_20250425.pdf
25/04/2025,Công Ty Cổ Phần Tập Đoàn Nam Long,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-naa-long-id956160.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/25-04-2025/%5BVI%5DFiinRatings_NLG-Ratings-Release_042025.pdf,
12/04/2025,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-qaoc-te-viet-naa-id4062.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Thuận lợi,,https://cms.fiinratings.vn/UploadFile/12-04-2025/VN-FiinRatings_VIB_Surveillance_Report_042025_(final).pdf,https://cms.fiinratings.vn/UploadFile/27-05-2025/EN-FiinRatings_VIB_Surveillance_Issuer_Rating_Report_042025.pdf
10/04/2025,Công ty Cổ phần Đầu tư và Du lịch Vạn Hương,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-da-lich-vạn-huong-id10968.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B,Ổn định,,https://cms.fiinratings.vn/UploadFile/10-04-2025/%5BVI%5DFiinRatings_Issuer-Rating-Release_Van_Huong_042025.pdf,
09/04/2025,Công Ty TNHH Truyền Dẫn Nước Sạch Xuân Mai - Hà Nội,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-trayen-dan-nuoc-sạch-xaan-mai---ha-noi-id2176657.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Công cụ nợ,AAA,,XMH12501,https://cms.fiinratings.vn/UploadFile/09-04-2025/%5BVI%5DFiinRatings_Issue-Rating-Release_XMHN_042025.pdf,https://cms.fiinratings.vn/UploadFile/09-04-2025/%5BEN%5DFiinRatings_Issue-Rating-Release_XMHN_042025.pdf
03/04/2025,Công Ty TNHH Truyền Dẫn Nước Sạch Xuân Mai - Hà Nội,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-trayen-dan-nuoc-sạch-xaan-mai---ha-noi-id2176657.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB,Ổn định,,https://cms.fiinratings.vn/UploadFile/03-04-2025/%5BVI%5DFiinRatings_Issuer-Rating-Release_XMHN_042025.pdf,
02/04/2025,Công ty Cổ phần Kinh doanh F88,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Thuận lợi,,https://cms.fiinratings.vn/UploadFile/02-04-2025/VI_FiinRatings_F88__Surveillance_Rating_Note_20250402_(1).pdf,https://cms.fiinratings.vn/UploadFile/02-04-2025/EN_FiinRatings_F88__Surveillance_Rating_Note_202504.pdf
01/04/2025,Ngân hàng Thương mại Cổ phần Bắc Á,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-bac-a-id3422.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/01-04-2025/%5BVN%5D_FiinRatings_BAB_Surveillance_202504.pdf,https://cms.fiinratings.vn/UploadFile/01-04-2025/%5BEN%5D_FiinRatings_BAB_Surveillance_202504.pdf
