row_id,ticker,company_name,rating_date,sector,xai_shared_row_id,xai_shared_sample_id,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,feature,feature_value,gradientshap_attribution,direction,feature_source,probability_source,xai_probability_source,xai_method,gradientshap_method,proxy_mse,proxy_argmax_agreement
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,1,lstm,LSTM,2,IG,0.955826292158276,1,HY,0.043985476281496155,pretax_profit_margin,0.5654079020023346,-0.4786878526210785,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,2,lstm,LSTM,2,IG,0.955826292158276,1,HY,0.043985476281496155,operating_profit_margin,0.47191569209098816,0.3821200430393219,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,3,lstm,LSTM,2,IG,0.955826292158276,1,HY,0.043985476281496155,debt_equity_ratio,0.3332697469741106,-0.1676504909992218,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,4,lstm,LSTM,2,IG,0.955826292158276,1,HY,0.043985476281496155,roe,0.9978612065315247,-0.10254991799592972,opposes_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,5,lstm,LSTM,2,IG,0.955826292158276,1,HY,0.043985476281496155,net_profit_margin,0.5552251785993576,0.07796672731637955,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,6,lstm,LSTM,2,IG,0.955826292158276,1,HY,0.043985476281496155,free_cashflow_ps,-0.6030890047550201,0.059746913611888885,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,7,lstm,LSTM,2,IG,0.955826292158276,1,HY,0.043985476281496155,current_ratio,0.17757752910256386,0.04737832024693489,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,8,lstm,LSTM,2,IG,0.955826292158276,1,HY,0.043985476281496155,ebit_margin,0.5878666937351227,0.032051924616098404,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,9,lstm,LSTM,2,IG,0.955826292158276,1,HY,0.043985476281496155,asset_turnover,1.0123293995857239,0.01703593134880066,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,518,10,lstm,LSTM,2,IG,0.955826292158276,1,HY,0.043985476281496155,operating_cashflow_ps,-0.6212241658940911,0.009789868257939816,supports_explained_class,original_financial_sequence_mean,test_proba,test_proba,expected_gradients_fallback,expected_gradients_fallback: ModuleNotFoundError,0.0530428146887642,0.8601276842716192
