sample_rank,sample_index,ticker,y_true,y_pred,pred_prob,target_class_explained,feature_flat,feature_value,shap_value,abs_shap_value,last_y_context,sector_id
7,62,MDCA,1,1,0.578267514705658,1,t-0__net_profit_margin,-1.19044828414917,-0.00607411894955955,0.00607411894955955,1,2
7,62,MDCA,1,1,0.578267514705658,1,t-0__gross_profit_margin,-0.023893356323242188,-0.005329852656379798,0.005329852656379798,1,2
3,79,SITE,1,1,0.6652684211730957,1,t-0__asset_turnover,2.6855783462524414,0.09899803798881793,0.09899803798881793,1,6
3,79,SITE,1,1,0.6652684211730957,1,t-0__free_cashflow_ps,0.41557952761650085,0.061017016413490124,0.061017016413490124,1,6
3,79,SITE,1,1,0.6652684211730957,1,t-0__pretax_profit_margin,-0.4606671631336212,-0.019841556671658506,0.019841556671658506,1,6
3,79,SITE,1,1,0.6652684211730957,1,t-0__operating_cashflow_ps,0.6231003999710083,-0.018568168775795275,0.018568168775795275,1,6
3,79,SITE,1,1,0.6652684211730957,1,t-0__ebit_margin,-0.775065004825592,-0.01851582679159309,0.01851582679159309,1,6
3,79,SITE,1,1,0.6652684211730957,1,t-0__gross_profit_margin,-0.1765986680984497,0.012997386039576356,0.012997386039576356,1,6
3,79,SITE,1,1,0.6652684211730957,1,t-0__current_ratio,1.0542348623275757,-0.008213825904750493,0.008213825904750493,1,6
3,79,SITE,1,1,0.6652684211730957,1,t-0__roa_delta,0.0,0.007320526749670862,0.007320526749670862,1,6
2,31,EA,2,2,0.7765790224075317,1,t-0__roe,1.136453628540039,-0.03264709241837573,0.03264709241837573,2,2
2,31,EA,2,2,0.7765790224075317,1,t-0__net_profit_margin,1.541695237159729,-0.01711361458023254,0.01711361458023254,2,2
2,31,EA,2,2,0.7765790224075317,1,t-0__current_ratio,-0.3759917616844177,-0.01180656126350487,0.01180656126350487,2,2
2,31,EA,2,2,0.7765790224075317,1,t-0__operating_cashflow_ps,1.398957371711731,-0.007205175561908398,0.007205175561908398,2,2
2,31,EA,2,2,0.7765790224075317,1,t-0__ebit_margin,0.7615895867347717,-0.005828437640744217,0.005828437640744217,2,2
2,31,EA,2,2,0.7765790224075317,1,t-0__gross_profit_margin,1.2650569677352905,-0.005419087669699951,0.005419087669699951,2,2
2,31,EA,2,2,0.7765790224075317,1,t-0__roa,2.359868288040161,-0.004808427704592813,0.004808427704592813,2,2
2,31,EA,2,2,0.7765790224075317,1,t-0__ebit_margin_delta,0.0,-0.00429713557117382,0.00429713557117382,2,2
1,38,FTS,2,2,0.7490202784538269,1,t-0__operating_cashflow_ps,1.6557950973510742,-0.029703983542167647,0.029703983542167647,2,11
1,38,FTS,2,2,0.7490202784538269,1,t-0__net_profit_margin,0.5499416589736938,-0.025606913195106402,0.025606913195106402,2,11
1,38,FTS,2,2,0.7490202784538269,1,t-0__asset_turnover,-1.492022156715393,-0.02112454440569972,0.02112454440569972,2,11
1,38,FTS,2,2,0.7490202784538269,1,t-0__debt_equity_ratio,0.2546197175979614,0.01498300244485365,0.01498300244485365,2,11
1,38,FTS,2,2,0.7490202784538269,1,t-0__roa,-0.39216187596321106,0.010319962464701208,0.010319962464701208,2,11
1,38,FTS,2,2,0.7490202784538269,1,t-0__operating_profit_margin,0.9038761258125305,0.009787328222998699,0.009787328222998699,2,11
1,38,FTS,2,2,0.7490202784538269,1,t-0__current_ratio,-1.2267520427703857,-0.007561170093892356,0.007561170093892356,2,11
1,38,FTS,2,2,0.7490202784538269,1,t-0__free_cashflow_ps_delta,0.0,0.007211117147271323,0.007211117147271323,2,11
4,39,FTS,2,2,0.7490202784538269,1,t-0__asset_turnover,-1.492022156715393,-0.024923896938016478,0.024923896938016478,2,11
4,39,FTS,2,2,0.7490202784538269,1,t-0__operating_cashflow_ps,1.6557950973510742,-0.01950610487397585,0.01950610487397585,2,11
4,39,FTS,2,2,0.7490202784538269,1,t-0__net_profit_margin,0.5499416589736938,-0.012864719123179321,0.012864719123179321,2,11
4,39,FTS,2,2,0.7490202784538269,1,t-0__current_ratio,-1.2267520427703857,-0.010858451638385835,0.010858451638385835,2,11
4,39,FTS,2,2,0.7490202784538269,1,t-0__roa,-0.39216187596321106,0.010209529216801594,0.010209529216801594,2,11
4,39,FTS,2,2,0.7490202784538269,1,t-0__operating_cashflow_ps_delta,0.0,0.010186786458274828,0.010186786458274828,2,11
4,39,FTS,2,2,0.7490202784538269,1,t-0__debt_equity_ratio,0.2546197175979614,0.008955665792886822,0.008955665792886822,2,11
4,39,FTS,2,2,0.7490202784538269,1,t-0__operating_profit_margin_delta,0.0,-0.007015986861776307,0.007015986861776307,2,11
5,40,FTS,2,2,0.7490202784538269,1,t-0__asset_turnover,-1.492022156715393,-0.030499489265392053,0.030499489265392053,2,11
5,40,FTS,2,2,0.7490202784538269,1,t-0__operating_cashflow_ps,1.6557950973510742,-0.023600785790859807,0.023600785790859807,2,11
5,40,FTS,2,2,0.7490202784538269,1,t-0__debt_equity_ratio,0.2546197175979614,0.015047805391256252,0.015047805391256252,2,11
5,40,FTS,2,2,0.7490202784538269,1,t-0__net_profit_margin,0.5499416589736938,-0.012733981431893408,0.012733981431893408,2,11
5,40,FTS,2,2,0.7490202784538269,1,t-0__free_cashflow_ps_delta,0.0,0.007406700127453681,0.007406700127453681,2,11
5,40,FTS,2,2,0.7490202784538269,1,t-0__ebit_margin,0.8144645690917969,0.007239201834824738,0.007239201834824738,2,11
5,40,FTS,2,2,0.7490202784538269,1,t-0__gross_profit_margin_delta,0.0,-0.006303508767128546,0.006303508767128546,2,11
5,40,FTS,2,2,0.7490202784538269,1,t-0__gross_profit_margin,-0.008934568613767624,0.005792827467861479,0.005792827467861479,2,11
