trial_id,epochs,composite_score,val_loss,val_accuracy,f1_weighted,f1_macro,qwk,hidden_size,d_model,n_heads,n_layers,dropout,pre_lstm_dropout,batch_size,lr,max_lr,weight_decay,context_dropout_prob,train_input_noise_std,train_channel_dropout_prob,train_timestep_dropout_prob,loss_gap_penalty_weight,train_loss,loss_gap,chgacc,persistence_rate,elapsed_seconds,search_version,train_monitor_loss,train_objective_loss,aligned_score,sector_emb_dim,ticker_emb_dim,company_emb_dim,max_relative_position
trial_0010,15,0.5997596695338563,0.34322222135961056,0.9083526682134571,0.8997192167018467,0.67880352833162,0.7865320901515188,52,38,1,1,0.41906863022029694,0.26713069041357573,32,0.00010193781307232958,0.0002350398429688716,0.0009786832728630509,0.25,0.007434294479577158,0.026942202318212375,0.04132424945792946,0.2812619101084452,0.2252313473086426,0.11799087405096795,0.1791044776119403,0.9547563805104409,29.7944118976593,tlstm_primo_v2_monitor_aligned,0.2252313473086426,0.3685116947059794,0.5997596695338563,8,4,4,8
trial_0011,16,0.6060756578016072,0.3087589338954006,0.91415313225058,0.906182786677554,0.6999585591028762,0.803284280518682,50,39,1,1,0.4131366915454043,0.2902302126779392,32,5.616787647830464e-05,0.00040000000000000013,0.0008634616084575072,0.25,0.00607134983298862,0.0263544826472884,0.042834308689032936,0.3216255595105516,0.18042799511897392,0.12833093877642668,0.208955223880597,0.9582366589327146,32.02251076698303,tlstm_primo_v2_monitor_aligned,0.18042799511897392,0.32548150843532797,0.6060756578016072,8,4,4,8
trial_0012,17,0.600952685545945,0.33020250632294584,0.9129930394431555,0.9049868641677424,0.6987032549475876,0.8072571299426334,50,42,1,1,0.422275776353892,0.29578835676223086,32,0.00012410442141572904,0.0002829817381595534,0.0009852364917885697,0.2571442359776808,0.005157577893347254,0.01998779295132866,0.05940231112219738,0.35,0.20400423588960068,0.12619827043334517,0.19402985074626866,0.9593967517401392,34.71006965637207,tlstm_primo_v2_monitor_aligned,0.20400423588960068,0.34196670595900397,0.600952685545945,8,4,4,8
trial_0013,18,0.5959866589449587,0.3134026506117412,0.9118329466357309,0.9048323220168473,0.6928700963628263,0.7959125691340253,44,40,1,1,0.40401653886699207,0.26938616284576467,32,3.5457889035833425e-05,0.00040000000000000013,0.0008000000000000004,0.2574801890434009,0.0024708296642441652,0.01,0.05151902390945494,0.34810635072518625,0.16905844130593797,0.14434420930580324,0.22388059701492538,0.9547563805104409,35.12124443054199,tlstm_primo_v2_monitor_aligned,0.16905844130593797,0.31671387954960245,0.5959866589449587,8,4,4,8
trial_0014,19,0.6203884576134129,0.31370423042348455,0.9187935034802784,0.9104963880713305,0.7028313897570738,0.8172197430435746,50,41,1,1,0.41811915197443333,0.3057090289333881,32,5.6242661106559356e-05,0.00040000000000000013,0.0008000000000000004,0.26564388845664544,0.005244488279579338,0.025302408384575155,0.06280099294105727,0.32123976770381585,0.17057637416798135,0.1431278562555032,0.29850746268656714,0.9489559164733179,38.07665991783142,tlstm_primo_v2_monitor_aligned,0.17057637416798135,0.30745039047917355,0.6203884576134129,8,4,4,8
trial_0015,20,0.599908016895692,0.3062737262142556,0.9106728538283063,0.9025453493333638,0.6967248944574091,0.8027668993289884,56,38,1,1,0.433079162960396,0.29274945983983636,32,4.906967199232761e-05,0.00040000000000000013,0.0008000000000000004,0.31069941145036145,0.004793596625869885,0.04360291620003208,0.05222631561693925,0.33440387441640795,0.17025645870877348,0.1360172675054821,0.208955223880597,0.9535962877030162,39.877848625183105,tlstm_primo_v2_monitor_aligned,0.17025645870877348,0.3237605088839076,0.599908016895692,8,4,4,8
trial_0016,20,0.59601340719015,0.3255550116300583,0.9083526682134571,0.8978707116595868,0.6655170344289515,0.783267994278154,55,41,1,1,0.40959053577714744,0.30934156509891286,128,0.00010486827973740563,0.00036918512367642913,0.0008000000000000004,0.255855717855956,0.008593089555544083,0.030191866242873715,0.042253135694619734,0.3196624496778488,0.22210860583517286,0.10344640579488543,0.1791044776119403,0.9547563805104409,20.80965805053711,tlstm_primo_v2_monitor_aligned,0.22210860583517286,0.3720218156491007,0.59601340719015,8,4,4,8
trial_0017,20,0.6017406371503881,0.29601670934685637,0.9118329466357309,0.9018340841713361,0.6650215594823489,0.7974182419041436,52,42,1,1,0.40547050886492075,0.2970407790001862,32,0.00011793390387611734,0.00040000000000000013,0.0008050834186033633,0.2958671979448623,0.003185173147077708,0.01784032838457658,0.0517538012674479,0.2937704489912725,0.14131236751226411,0.15470434183459225,0.26865671641791045,0.9466357308584686,40.77881836891174,tlstm_primo_v2_monitor_aligned,0.14131236751226411,0.28644103633212675,0.6017406371503881,8,4,4,8
trial_0018,20,0.6095966047429843,0.3088433401925223,0.91415313225058,0.9060874978972175,0.6995264759903582,0.8092461634675518,52,46,1,1,0.43313841106714496,0.3843380445919943,64,4.938274148987159e-05,0.00040000000000000013,0.0008007214348871858,0.25691234402201213,0.002,0.03509096786728061,0.0668956495528097,0.3208092731595368,0.19514300738062176,0.11370033281190053,0.19402985074626866,0.9605568445475638,28.67177987098694,tlstm_primo_v2_monitor_aligned,0.19514300738062176,0.3442680813534104,0.6095966047429843,8,4,4,8
trial_0019,20,0.6055877426317506,0.3099650373416288,0.9095127610208816,0.9005463780023801,0.6789519013621006,0.7941013255610834,52,43,1,1,0.4228219990751136,0.30699747824333135,32,3.2145372017980736e-05,0.00040000000000000013,0.0008000000000000004,0.3267913661422555,0.006407726809791309,0.01323915195849241,0.05621097202662216,0.27146099778268373,0.15074944906476614,0.15921558827686264,0.26865671641791045,0.9443155452436195,42.25997996330261,tlstm_primo_v2_monitor_aligned,0.15074944906476614,0.3039492323484788,0.6055877426317506,8,4,4,8
stage2_top_01,25,0.6714400246042965,0.2365500352212361,0.925754060324826,0.9199383174475777,0.7483162012261264,0.8566446193028472,50,41,1,1,0.41811915197443333,0.3057090289333881,32,5.6242661106559356e-05,0.00040000000000000013,0.0008000000000000004,0.26564388845664544,0.005244488279579338,0.025302408384575155,0.06280099294105727,0.32123976770381585,0.1017936344645659,0.13475640075667022,0.47761194029850745,0.9292343387470998,103.14193511009216,tlstm_primo_v2_monitor_aligned,0.1017936344645659,0.2131403243080305,0.6714400246042965,8,4,4,8
stage2_top_02,25,0.6532477446067553,0.23270726203918457,0.9222737819025522,0.9146113380362197,0.7184955918806047,0.8486722811945381,52,46,1,1,0.43313841106714496,0.3843380445919943,64,4.938274148987159e-05,0.00040000000000000013,0.0008007214348871858,0.25691234402201213,0.002,0.03509096786728061,0.0668956495528097,0.3208092731595368,0.11418884840944211,0.11851841362974246,0.3880597014925373,0.9396751740139211,71.331702709198,tlstm_primo_v2_monitor_aligned,0.11418884840944211,0.24259919215238443,0.6532477446067553,8,4,4,8
