threshold,margin,score,accepted,accuracy,f1_weighted,f1_macro,qwk,target_recall
0.5999999999999999,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.5999999999999999,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.5999999999999999,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.5999999999999999,0.06,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.5999999999999999,0.08,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.5999999999999999,0.1,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.5999999999999999,0.12,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6199999999999999,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6199999999999999,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6199999999999999,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6199999999999999,0.06,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6199999999999999,0.08,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6199999999999999,0.1,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6199999999999999,0.12,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6399999999999998,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6399999999999998,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6399999999999998,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6399999999999998,0.06,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6399999999999998,0.08,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6399999999999998,0.1,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6399999999999998,0.12,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6599999999999997,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6599999999999997,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6599999999999997,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6599999999999997,0.06,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6599999999999997,0.08,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6599999999999997,0.1,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6599999999999997,0.12,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6799999999999997,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6799999999999997,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6799999999999997,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6799999999999997,0.06,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6799999999999997,0.08,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6799999999999997,0.1,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6799999999999997,0.12,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6999999999999997,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6999999999999997,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6999999999999997,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6999999999999997,0.06,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6999999999999997,0.08,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6999999999999997,0.1,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.6999999999999997,0.12,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7199999999999998,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7199999999999998,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7199999999999998,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7199999999999998,0.06,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7199999999999998,0.08,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7199999999999998,0.1,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7199999999999998,0.12,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7399999999999998,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7399999999999998,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7399999999999998,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7399999999999998,0.06,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7399999999999998,0.08,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7399999999999998,0.1,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7399999999999998,0.12,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7599999999999998,0.0,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7599999999999998,0.02,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7599999999999998,0.04,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7599999999999998,0.06,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7599999999999998,0.08,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7599999999999998,0.1,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
0.7599999999999998,0.12,1.5117554256773562,True,0.919953596287703,0.9129609994059459,0.7360824315374065,0.850321236325751,0.23333333333333334
