ticker,rating_date,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,company_name,rating_agency,sector,source,rating_detail,delta_days
DVA,2013-07-02,1.4318,2.1853,0.317938,0.158446,0.158446,0.122315,0.065477,0.5112,0.163766,0.040055,-0.494,-1.6003,DAVITA INC.,Egan-Jones Ratings Company,Health Care,credit_rating_financial,1,322.0
ENDP,2013-12-10,1.2638,2.7949,0.596666,-0.191756,-0.191756,-0.259408,-0.262928,0.4287,-0.612429,-0.105656,0.5478,0.1741,Endo International PLC,Standard & Poor's Ratings Services,Health Care,credit_rating_financial,1,34.0
SON,2015-03-19,1.5649,0.5753,0.177233,0.071876,0.071876,0.060208,0.043159,1.2232,0.12374,0.053115,1.2732,1.4878,Sonoco Products Co.,Standard & Poor's Ratings Services,Capital Goods,credit_rating_financial,2,9.0
GPOR,2015-08-20,0.8235,0.3064,0.886402,0.336374,0.336374,0.472119617,0.368839,0.1853,0.10774,0.068353,2.3225,-2.7904,Gulfport Energy Corp.,Standard & Poor's Ratings Services,Energy,credit_rating_financial,1,126.0
MAN,2012-06-13,1.4814,0.2912,0.172019,-0.006466,-0.006466,-0.008756,-0.013972,2.8035,-0.109962,-0.03917,-3.0431,-3.3025,ManpowerGroup Inc.,Standard & Poor's Ratings Services,Miscellaneous,credit_rating_financial,2,83.0
BUD,2014-06-16,0.7293,0.8882,0.592684,0.326079,0.326079,0.429078,0.333233,0.3049,0.298655,0.116598,0.2525,-0.0392,ANHEUSER-BUSCH INBEV SA/NV,Egan-Jones Ratings Company,Consumer Non-Durables,credit_rating_financial,2,70.0
AZN,2014-11-27,1.3701,0.4306,0.807207,0.291281,0.291281,0.273335,0.223072,0.5225,0.261839,0.117122,-0.1122,-0.0298,AstraZeneca PLC,Fitch Ratings,Health Care,credit_rating_financial,2,6.0
PSX,2014-11-12,1.4719788175000001,0.7963864749999999,0.5693765,0.0279691525,0.0279691525,0.0361011525,0.026270372,3.41016172,0.208403538,0.091316544,2.547381037,2.0121810370000004,Phillips 66,Moody's Investors Service,Energy,corporate_rating,2,49.0
CIEN,2013-09-05,2.0668,-15.6497,0.394904,-0.043538,-0.043538,-0.073449,-0.078532,0.9749,1.61872,-0.07656,2.022,2.0841,CIENA CORPORATION,Egan-Jones Ratings Company,Technology,credit_rating_financial,1,365.0
FMC,2015-09-10,1.4824,1.178,0.383588,0.188201,0.188201,0.160731,0.093366,0.598,0.236372,0.070981,-0.1768,-0.1163,FMC CORPORATION,Egan-Jones Ratings Company,Basic Industries,credit_rating_financial,2,98.0
MGM,2014-05-27,1.3019,1.6744,0.353631,0.013247,0.013247,-0.189307,-0.192962,0.3485,-0.199225,-0.061515,0.656,0.3288,MGM RESORTS INTERNATIONAL,Egan-Jones Ratings Company,Miscellaneous,credit_rating_financial,1,62.0
HAS,2013-10-31,2.3916,1.1155,0.571526,0.1386,0.1386,0.113495,0.089922,1.0375,0.271861,0.093292,0.4335,0.4637,"HASBRO, INC",Egan-Jones Ratings Company,Consumer Non-Durables,credit_rating_financial,2,100.0
