class0_threshold,candidate,Accuracy,Precision_Weighted,Recall_Weighted,Macro_F1,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2,Class0_Support,AUC,QWK,ChgAcc,Ordinal_MAE
0.18,class0_threshold,0.9095127610208816,0.9220818658315816,0.9095127610208816,0.7918615682693807,0.9138393277016356,0.4339622641509434,0.7666666666666667,0.5542168674698795,0.6647398843930636,30,0.9743511083519812,0.8508964820683704,0.11940298507462686,0.09396751740139211
0.19,class0_threshold,0.9095127610208816,0.9210216547033637,0.9095127610208816,0.7883627765272946,0.9136221150198665,0.43137254901960786,0.7333333333333333,0.5432098765432098,0.6432748538011697,30,0.9743511083519812,0.8497577901809863,0.11940298507462686,0.09396751740139211
0.2,class0_threshold,0.9106728538283063,0.9214575856623717,0.9106728538283063,0.7913235294117648,0.9145380100996314,0.44,0.7333333333333333,0.55,0.6470588235294118,30,0.9743511083519812,0.8509154385739108,0.11940298507462686,0.09280742459396751
0.21,class0_threshold,0.9083526682134571,0.9184715030756052,0.9083526682134571,0.7778754578754579,0.9122160747218752,0.4166666666666667,0.6666666666666666,0.5128205128205128,0.5952380952380952,30,0.9743511083519812,0.8462698303326064,0.08955223880597014,0.0951276102088167
0.22,class0_threshold,0.9083526682134571,0.9184715030756052,0.9083526682134571,0.7778754578754579,0.9122160747218752,0.4166666666666667,0.6666666666666666,0.5128205128205128,0.5952380952380952,30,0.9743511083519812,0.8462698303326064,0.08955223880597014,0.0951276102088167
0.23,class0_threshold,0.9118329466357309,0.919860429163931,0.9118329466357309,0.7867880995749849,0.9149520537234963,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.6060606060606061,30,0.9743511083519812,0.8497697439914049,0.08955223880597014,0.09164733178654293
0.24,class0_threshold,0.9118329466357309,0.9188481414439933,0.9118329466357309,0.7826871856069081,0.9146638626547945,0.4418604651162791,0.6333333333333333,0.5205479452054794,0.5828220858895705,30,0.9743511083519812,0.8485862956855257,0.08955223880597014,0.09164733178654293
0.25,class0_threshold,0.9106728538283063,0.9173324468914025,0.9106728538283063,0.7753140096618357,0.9134382460741786,0.42857142857142855,0.6,0.5,0.5555555555555556,30,0.9743511083519812,0.8461991701244813,0.08955223880597014,0.09280742459396751
0.26,class0_threshold,0.9106728538283063,0.9173324468914025,0.9106728538283063,0.7753140096618357,0.9134382460741786,0.42857142857142855,0.6,0.5,0.5555555555555556,30,0.9743511083519812,0.8461991701244813,0.08955223880597014,0.09280742459396751
0.27,class0_threshold,0.9118329466357309,0.9162039685073173,0.9118329466357309,0.7756354916067146,0.9137515231434342,0.4473684210526316,0.5666666666666667,0.5,0.5379746835443038,30,0.9743511083519812,0.8509958345278851,0.08955223880597014,0.09048723897911833
