sample_rank,sample_index,ticker,y_true,y_pred,pred_prob,target_class_explained,feature_flat,feature_value,shap_value,abs_shap_value,last_y_context,sector_id,ticker_id_context,company_id_context
6,1345,SBS,1,1,0.7514486312866211,1,t-0__gross_profit_margin,-0.4685574173927307,-0.010235942899446094,0.010235942899446094,1,11,664,368
6,1345,SBS,1,1,0.7514486312866211,1,t-4__gross_profit_margin,-0.14652134478092194,-0.008281208077169753,0.008281208077169753,1,11,664,368
6,1345,SBS,1,1,0.7514486312866211,1,t-1__current_ratio_delta,-0.23603098094463348,-0.008211446746637846,0.008211446746637846,1,11,664,368
6,1345,SBS,1,1,0.7514486312866211,1,t-7__ebit_margin,0.7712879776954651,-0.007790942243269119,0.007790942243269119,1,11,664,368
6,1345,SBS,1,1,0.7514486312866211,1,t-0__pretax_profit_margin_delta,0.0,-0.007268451534360632,0.007268451534360632,1,11,664,368
3,1401,SMG,1,1,0.7158454060554504,1,t-3__current_ratio,0.0660833790898323,0.005394895649475154,0.005394895649475154,2,0,687,1239
3,1401,SMG,1,1,0.7158454060554504,1,t-0__ebit_margin_delta,-0.020590903237462044,0.0052297599923105354,0.0052297599923105354,2,0,687,1239
3,1401,SMG,1,1,0.7158454060554504,1,t-7__asset_turnover,1.121087908744812,0.0020924718232335133,0.0020924718232335133,2,0,687,1239
3,1401,SMG,1,1,0.7158454060554504,1,t-5__asset_turnover_delta,-0.2593217194080353,0.0019795726689656925,0.0019795726689656925,2,0,687,1239
3,1401,SMG,1,1,0.7158454060554504,1,t-6__current_ratio,0.07789414376020432,0.0006856628847736928,0.0006856628847736928,2,0,687,1239
3,1401,SMG,1,1,0.7158454060554504,1,t-1__delta_days,0.16319087147712708,0.000374145556889928,0.000374145556889928,2,0,687,1239
3,1401,SMG,1,1,0.7158454060554504,1,t-2__net_profit_margin,-0.009224326349794865,0.00036371530286039976,0.00036371530286039976,2,0,687,1239
3,1401,SMG,1,1,0.7158454060554504,1,t-0__delta_days,-0.34776294231414795,0.0003221757104031716,0.0003221757104031716,2,0,687,1239
4,698,HAS,2,2,0.9897543787956238,1,t-4__ebit_margin_delta,0.0,-0.0012646578429896648,0.0012646578429896648,2,5,345,649
4,698,HAS,2,2,0.9897543787956238,1,t-4__gross_profit_margin,0.6298359036445618,-0.0012495203335754072,0.0012495203335754072,2,5,345,649
4,698,HAS,2,2,0.9897543787956238,1,t-7__roa,0.742135226726532,-0.0011556510621007461,0.0011556510621007461,2,5,345,649
4,698,HAS,2,2,0.9897543787956238,1,t-5__gross_profit_margin,0.6298359036445618,-0.001111790591082109,0.001111790591082109,2,5,345,649
4,698,HAS,2,2,0.9897543787956238,1,t-7__pretax_profit_margin,0.14406287670135498,-0.0009673199418847058,0.0009673199418847058,2,5,345,649
4,698,HAS,2,2,0.9897543787956238,1,t-7__free_cashflow_ps,0.0024096849374473095,-0.0009517874767664605,0.0009517874767664605,2,5,345,649
4,698,HAS,2,2,0.9897543787956238,1,t-1__asset_turnover,0.33339381217956543,-0.0007838483750731151,0.0007838483750731151,2,5,345,649
4,698,HAS,2,2,0.9897543787956238,1,t-0__operating_profit_margin_delta,0.0,-0.0005943984158494153,0.0005943984158494153,2,5,345,649
2,553,EPD,2,2,0.9848105311393738,1,t-1__delta_days,-2.884798765182495,0.0011911037297092785,0.0011911037297092785,2,7,264,480
2,553,EPD,2,2,0.9848105311393738,1,t-2__free_cashflow_ps_delta,0.0,0.0008781176920680983,0.0008781176920680983,2,7,264,480
2,553,EPD,2,2,0.9848105311393738,1,t-1__operating_cashflow_ps_delta,0.0,0.0007104726656860134,0.0007104726656860134,2,7,264,480
2,553,EPD,2,2,0.9848105311393738,1,t-4__gross_profit_margin,-1.4616442918777466,0.0006923001918333741,0.0006923001918333741,2,7,264,480
2,553,EPD,2,2,0.9848105311393738,1,t-4__delta_days,-0.8801928758621216,0.0005365298559538837,0.0005365298559538837,2,7,264,480
2,553,EPD,2,2,0.9848105311393738,1,t-5__current_ratio,-0.9949684739112854,0.0004939654011628966,0.0004939654011628966,2,7,264,480
2,553,EPD,2,2,0.9848105311393738,1,t-4__roe_delta,0.0,0.000439178716356862,0.000439178716356862,2,7,264,480
