trial_id,epochs,composite_score,val_loss,val_accuracy,f1_weighted,f1_macro,qwk,hidden_size,d_model,n_heads,n_layers,dropout,pre_lstm_dropout,batch_size,lr,max_lr,weight_decay,focal_weight,context_dropout_prob,train_input_noise_std,train_channel_dropout_prob,train_timestep_dropout_prob,loss_gap_penalty_weight,train_loss,loss_gap,chgacc,persistence_rate,elapsed_seconds,search_version,train_monitor_loss,train_objective_loss,aligned_score,focal_gamma,ordinal_alpha,label_smoothing,sector_emb_dim,ticker_emb_dim,company_emb_dim,max_relative_position,focal_alpha,warmup_epochs,ramp_epochs
trial_0010,15,0.6351984421240716,0.3001130052975246,0.9153132250580046,0.9050510721100203,0.6906414808252176,0.8007475532385777,64,51,1,1,0.38,0.226462369745005,64,4.74380216907903e-05,0.0004955998214938856,0.0005,0.15,0.1879077874712194,0.009267324523967141,0.0474876961378511,0.0067582120019778315,0.16895335808555256,0.2574820431570212,0.04263096214050338,0.19402985074626866,0.9605568445475638,16.08191180229187,tlstm_primo_v2_monitor_aligned,0.2574820431570212,0.5332215240432157,0.6351984421240716,1.0495800854818549,0.025636031097084396,0.054863224527330647,8,4,4,8,0.15,5,15
trial_0011,16,0.645668577093854,0.28066797128745485,0.9153132250580046,0.9080033147315114,0.7365030136053057,0.8158083878863226,64,52,1,1,0.38505215698654804,0.24973126678405713,64,3.161519246458626e-05,0.0005999999999999997,0.0005,0.15,0.18882881129264925,0.011333566729421743,0.04192195220219178,0.02563745741955043,0.23530370343814447,0.22900082543492317,0.05166714585253168,0.208955223880597,0.9582366589327146,17.222658157348633,tlstm_primo_v2_monitor_aligned,0.22900082543492317,0.467367370671127,0.645668577093854,1.054468097992964,0.03,0.03026272036094521,8,4,4,8,0.15,5,15
trial_0012,17,0.6494980235397421,0.2808356646980558,0.9176334106728539,0.9129073712024948,0.7667716130149448,0.8248580095825813,64,48,1,1,0.3880441591837406,0.24274945983983634,64,2.7370767092734812e-05,0.0005999999999999997,0.0005,0.15,0.19190043619225408,0.02,0.03409438955423518,0.012179759461576043,0.21071077434799565,0.21881100411216417,0.06202466058589165,0.1791044776119403,0.9651972157772621,17.087092876434326,tlstm_primo_v2_monitor_aligned,0.21881100411216417,0.44099263345603557,0.6494980235397421,1.1746161593095399,0.03,0.021198711225986905,8,4,4,8,0.15,5,15
trial_0013,18,0.6375666779686904,0.26876686087676455,0.91415313225058,0.9073146723320504,0.7297739614480926,0.8156659218145559,64,50,1,1,0.38698442550939566,0.2627209619539459,64,4.7540831195778596e-05,0.0005999999999999997,0.0006254113737277728,0.15,0.18871953152040688,0.02,0.04151024112381247,0.0,0.2716773809661716,0.20910915608207384,0.05965770479469071,0.19402985074626866,0.9605568445475638,18.954131364822388,tlstm_primo_v2_monitor_aligned,0.20910915608207384,0.4330490620513619,0.6375666779686904,1.1387909849259212,0.03,0.023214979139724035,8,4,4,8,0.15,5,15
trial_0014,19,0.6379408929302365,0.26533200059618267,0.9129930394431555,0.9084079809430782,0.743134046170223,0.8126918853244235,63,47,1,1,0.3902072793861281,0.31304538476881794,64,2.330909372985761e-05,0.0005999999999999997,0.0005,0.15,0.18270621515344515,0.02,0.024998625296362945,0.024697966157187314,0.21437846324049156,0.20222395534316698,0.0631080452530157,0.16417910447761194,0.962877030162413,19.908448934555054,tlstm_primo_v2_monitor_aligned,0.20222395534316698,0.41804973389789984,0.6379408929302365,1.1289951342124716,0.03,0.015125387048568969,8,4,4,8,0.15,5,15
trial_0015,20,0.655205767899168,0.25405381785498726,0.919953596287703,0.9155827738995823,0.7622326462158626,0.8306023713047791,64,52,1,1,0.38798504082669927,0.26980176699290304,48,3.871410154694745e-05,0.0005999999999999997,0.0005,0.15,0.1899712137352118,0.015619254155909791,0.03167791554686345,0.0,0.1756347669204202,0.1790524097159505,0.07500140813903677,0.208955223880597,0.9640371229698376,24.574764490127563,tlstm_primo_v2_monitor_aligned,0.1790524097159505,0.4285948667379599,0.655205767899168,1.2,0.02897543464990724,0.037442171445485006,8,4,4,8,0.15,5,15
trial_0016,20,0.6448147584116125,0.26946239173412323,0.9153132250580046,0.9122407777587193,0.773736042850962,0.8196262928675561,63,62,1,1,0.38624315085450867,0.2563512542915789,64,4.3409588954823635e-05,0.0005999999999999997,0.0005,0.15,0.188121487313756,0.011869486658322704,0.019033147559919826,0.0077989086904321405,0.1867214917689625,0.19913594610989094,0.07032644562423229,0.14925373134328357,0.9663573085846868,23.19247078895569,tlstm_primo_v2_monitor_aligned,0.19913594610989094,0.4497538865854343,0.6448147584116125,1.0914677532564554,0.028859148447569396,0.039877752943536855,8,4,4,8,0.15,5,15
trial_0017,20,0.6439548902247644,0.2708500772714615,0.91415313225058,0.9091165215295145,0.746482683982684,0.8133988404487614,64,56,1,1,0.3842844013249455,0.22237477611786702,48,8.08001613513185e-05,0.0004945222276225118,0.000516972339277685,0.15,0.19128185618087024,0.011016739370787391,0.04740880271749824,0.002529067082267003,0.1734029265468881,0.20735914329998195,0.06349093397147954,0.1791044776119403,0.9605568445475638,25.34497380256653,tlstm_primo_v2_monitor_aligned,0.20735914329998195,0.4428290961044175,0.6439548902247644,1.2,0.03,0.03506308923525109,8,4,4,8,0.15,5,15
trial_0018,20,0.6551621634857526,0.26606327295303345,0.91415313225058,0.9072409135262268,0.7263663429353192,0.822227124919665,61,46,1,1,0.3910414953932854,0.37494254470821825,48,8.9445118496871e-05,0.0005420937639741306,0.0005731401557547276,0.15,0.19967982228429276,0.018547512641904816,0.05015350286598917,0.001873524107136143,0.13023721996518078,0.19972268491983414,0.06634058803319931,0.2537313432835821,0.951276102088167,24.410582304000854,tlstm_primo_v2_monitor_aligned,0.19972268491983414,0.4551091447354309,0.6551621634857526,1.1801663385681154,0.03,0.04154797507493563,8,4,4,8,0.15,5,15
trial_0019,20,0.6442979284967537,0.2658365335729387,0.9129930394431555,0.906707286365788,0.7231085075781953,0.8278246478404367,64,48,1,1,0.3919099318351964,0.2765083445193869,48,6.76759463955015e-05,0.0005999999999999997,0.0005780557872837899,0.15,0.184577582004539,0.013999063442238719,0.024015348594546564,0.0,0.19242997349581173,0.18735360633581877,0.07848292723711991,0.22388059701492538,0.9535962877030162,23.16763138771057,tlstm_primo_v2_monitor_aligned,0.18735360633581877,0.43991414713008065,0.6442979284967537,1.2,0.03,0.0418564557881321,8,4,4,8,0.15,5,15
