rating_detail,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps
2,QUEST DIAGNOSTICS INCORPORATED,DGX,Egan-Jones Ratings Company,2013-08-08,Health Care,credit_rating_financial,0.8976,1.0834,0.409767,0.133523,0.133523,0.114854,0.063718,0.7937,0.132975,0.053042,-0.7115,-0.5594
2,Fluor Corp.,FLR,Standard & Poor's Ratings Services,2013-08-09,Miscellaneous,credit_rating_financial,1.5678,0.1579,0.038385,0.026616,0.026616,0.026598,0.016547,3.3322,0.166633,0.069002,-1.5137,-0.7887
2,AMERICA MOVIL SAB DE CV,AMX,Egan-Jones Ratings Company,2013-08-09,Public Utilities,credit_rating_financial,0.8271,1.3373,0.556887,0.202958,0.202958,0.178719,0.117971,0.7721,0.29501,0.09178,-0.6909,-0.1318
2,Barrick Gold Corporation,GOLD,DBRS,2013-08-09,Miscellaneous,credit_rating_financial,2.2482,0.5232,0.561675,0.468741,0.468741,0.472119617,0.314976,0.2912,0.177546,0.092808,0.7109,-0.481
2,"MAGELLAN MIDSTREAM PARTNERS,",MMP,Egan-Jones Ratings Company,2013-08-09,Miscellaneous,credit_rating_financial,1.7836,1.5791,0.629187,0.311532,0.311532,0.247333,0.245853,0.4009,0.287438,0.098566,0.2979,-0.4046
2,EQUIFAX INC,EFX,Egan-Jones Ratings Company,2013-08-09,Miscellaneous,credit_rating_financial,1.2521,0.5884,0.628196,0.247517,0.247517,0.214399,0.123019,0.538,0.138668,0.067866,0.5166,0.6993
2,Cenovus Energy Inc.,CVE,Moody's Investors Service,2013-08-12,Energy,credit_rating_financial,1.4003,0.4772,0.260549,0.148123,0.148123,0.103082,0.057635,0.7115,0.14097,0.057084,0.14,-0.8115
1,"ACI Worldwide, Inc.",ACIW,Moody's Investors Service,2013-08-12,Technology,credit_rating_financial,1.3358,0.7004,0.66149,0.111573,0.111573,0.097915,0.073279,0.5329,0.091411,0.039049,-0.891,-0.8452
2,ATMOS ENERGY CORPORATION,ATO,Egan-Jones Ratings Company,2013-08-12,Public Utilities,credit_rating_financial,0.6489,1.0713,0.385238,0.129866,0.129866,0.084519,0.063069,0.4584,0.081465,0.025641,0.008,-1.1581
1,Group 1 Automotive Inc.,GPI,Standard & Poor's Ratings Services,2013-08-12,Consumer Services,credit_rating_financial,1.125,1.5739,0.158,0.031827,0.031827,0.021727,0.012768,2.4551,0.102087,0.033272,11.899,10.4726
1,"NASDAQ, INC",NDAQ,Egan-Jones Ratings Company,2013-08-12,Finance,credit_rating_financial,1.0899,0.4246,0.491565,0.202443,0.202443,0.166667,0.112565,0.244,0.076815,0.02718,1.5858,1.3004
2,"IDACORP, INC",IDA,Egan-Jones Ratings Company,2013-08-12,Public Utilities,credit_rating_financial,1.0454,0.9206,0.72678,0.224494,0.224494,0.191542,0.1601,0.2042,0.099192,0.032731,-1.2758,0.745
2,Colgate-Palmolive Company,CL,Egan-Jones Ratings Company,2013-08-12,Consumer Non-Durables,corporate_rating,1.078747204,5.019956616,0.585591274,0.20413318,0.204649828,0.204649828,0.128645235,1.255405016,0.972234273,0.161501874,3.442200258,2.722389343
2,Avnet Inc.,AVT,Standard & Poor's Ratings Services,2013-08-12,Consumer Services,credit_rating_financial,1.7333,0.4768,0.117044,0.024588,0.024588,0.021575,0.017678,2.4305,0.104934,0.042968,1.4374,1.6021
1,"Foot Locker, Inc.",FL,Standard & Poor's Ratings Services,2013-08-13,Consumer Services,corporate_rating,3.715408805,0.416491376,0.329019735,0.064218699,0.082174054,0.082174054,0.064218699,1.836055836,0.167017249,0.117909118,2.754966887,1.675496689
