ticker,rating_date,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,company_name,rating_agency,sector,source,rating_detail,delta_days
NXPI,2016-10-28,0.33419959582410536,1.553736813162873,0.13081543133852494,0.43926370424260014,0.44997158308529434,0.14181204032324493,0.22727838830174557,0.1475110501540174,1.47983836604394,0.6701043687603611,0.9035184576763142,0.46141627144139546,NXP Semiconductors N.V.,6,10,2,1,1.2985139294051757
EPR,2013-10-07,-1.4624211763950241,0.06682885995596369,1.9745891708545171,2.20917478153378,2.21190075091525,2.214028478372623,2.255362140070339,-1.443412629633323,-0.05949217989599313,0.1445836065603043,1.4483947588158146,0.5807983038305362,EPR Properties,6,4,1,1,0.5157631383303501
SRE,2014-06-05,-0.9031419960678773,0.16799100032571773,0.7460032163561979,0.3392527597648513,0.3500297102100969,0.2888549260013002,0.2225190774328111,-1.0438308124782905,-0.0945389550270861,-0.2722421984613611,-1.0341630716442536,0.6828863992312942,SEMPRA ENERGY,1,9,2,2,-0.09319699578454088
TAC,2013-09-16,-1.2703446669623877,0.2718730656531634,0.8367543966817401,0.4102527469550124,0.4209806619379697,-1.9789595414230512,-2.315781158427385,-1.1625515995986306,-0.2058063052449925,-0.5528265258576863,-0.9970996142962728,-0.7467340877940744,TRANSALTA CORPORATION,1,9,2,1,1.2985139294051757
NUE,2014-09-11,0.9887003153108406,-0.30623946056529594,-1.4422198318519774,-0.4667442466051327,-0.4554106420339583,-0.33443221320013405,-0.3155198902223643,1.0380238057946893,-0.1341494412639981,-0.06630479828029681,0.09368214936310933,-0.455276381290332,Nucor Corp.,6,1,2,2,-1.6502967275004745
HRL,2012-06-15,0.8216782143715186,-0.6934162171061073,-1.0744831452812433,-0.17489085009943828,-0.1401864223584009,-0.006915102063729137,-0.044386363896362004,1.670667182440809,0.11399067676132758,1.040689923004111,-0.32165134101789256,-0.1459602090590679,Hormel Foods Corporation,5,3,2,2,0.47571762083865116
NVS,2016-04-19,-0.8335317203829918,-0.4802785047363006,0.8861897061939501,0.39021842147024777,0.4009601729685434,0.45655364503056234,1.9737961745114019,-0.7908858339585793,-0.0965298832393282,0.11822433112545679,-0.9430120336829869,-0.36315436618181357,Novartis AG,6,7,2,2,1.084677754953542
ANDE,2015-03-18,-0.47941177696990356,-0.19699950987823364,-1.4936335227478024,-0.7429916423592661,-0.7314672501655468,-0.45777274779458804,-0.395745255743129,2.3207275497861755,0.0003682618173010865,-0.06335526774288626,-0.1048068635722922,0.46182500393163806,ANDERSONS INC.,1,4,2,2,0.18296942149362969
SCI,2015-04-20,-1.2024388220536366,0.739701580150501,-0.8455601941188139,0.5488356226857964,0.559467826730687,0.28241406362447,-0.06358403080264945,-1.1304476084215416,-0.008803722191353487,-0.5088798376837035,-0.5892421524467608,-0.28521222438863375,Service Corporation International,5,4,2,1,-0.5124674942540908
ENDP,2015-06-29,-0.03978370684492413,0.5394456606055524,0.192217929465092,0.11993206394871204,0.13086048613549356,-0.34828011524026603,-2.716509513835076,-1.216003083535407,-0.2515148958279525,-0.6605101533042846,-0.6172423738322174,-0.16174357137458878,ENDO INTERNATIONAL PLC,1,7,2,1,-1.4855921813691124
FLS,2014-11-03,0.17708853744389733,-0.1561057431712112,-0.38111699550655304,0.22854948241742234,0.2912592604940099,0.31765268809250485,0.24648420647581376,0.4311094828135613,0.30310994074178943,0.7982644921309864,-0.18576288900265117,-0.16325273749240754,FLOWSERVE CORPORATION,1,1,2,2,0.30107348993907196
PFGC,2015-05-29,-0.19108233265995558,1.143864667512189,-1.2560379936016892,-0.7960403641949401,-0.784479334408709,-0.6366175017056656,-0.5175693596473043,3.2156939969211322,-0.22757646682469934,-0.675680222006529,-0.5433789239657023,-0.3016558468807003,Performance Food Group Inc.,6,4,2,1,0.18296942149362969
EIX,2013-12-12,-1.210836628105996,-0.0024044987144987563,0.8719655477970604,0.48332248594732996,0.49399993601370673,0.427496797654102,-0.6535929147117402,-1.0871297272814604,0.08759787307362397,-0.16337981820249564,-1.34793371122154,-0.6048410317583258,Edison International,6,9,2,2,-1.4855921813691124
SBUX,2016-02-22,-0.6626068565178634,-0.362577019050522,0.6399740867335141,0.45311159873475887,0.46380991366152835,0.7214397677433784,0.5852898046802743,1.2730969899458942,0.8090705332068342,2.3364833566171685,0.8007432794773728,0.48043805271806905,Starbucks Corp.,6,4,2,2,-0.9166775647459204
