sample_rank,sample_index,ticker,y_true,y_pred,pred_prob,target_class_explained,feature_flat,feature_value,shap_value,abs_shap_value,last_y_context,sector_id
4,39,FTS,2,2,0.8117725253105164,1,t-0__net_profit_margin,0.5499416589736938,-0.011250806957418308,0.011250806957418308,2,11
4,39,FTS,2,2,0.8117725253105164,1,t-0__current_ratio,-1.2267520427703857,-0.009652847259879457,0.009652847259879457,2,11
4,39,FTS,2,2,0.8117725253105164,1,t-0__debt_equity_ratio_delta,0.0,0.008221570515160852,0.008221570515160852,2,11
4,39,FTS,2,2,0.8117725253105164,1,t-0__free_cashflow_ps,0.6910629272460938,0.006857051208746856,0.006857051208746856,2,11
4,39,FTS,2,2,0.8117725253105164,1,t-0__operating_profit_margin_delta,0.0,-0.0057655921370675075,0.0057655921370675075,2,11
4,39,FTS,2,2,0.8117725253105164,1,t-0__current_ratio_delta,0.0,-0.004631120096207141,0.004631120096207141,2,11
5,40,FTS,2,2,0.8117725253105164,1,t-0__asset_turnover,-1.492022156715393,-0.020144504067559903,0.020144504067559903,2,11
5,40,FTS,2,2,0.8117725253105164,1,t-0__debt_equity_ratio,0.2546197175979614,0.010141583933688324,0.010141583933688324,2,11
5,40,FTS,2,2,0.8117725253105164,1,t-0__net_profit_margin,0.5499416589736938,-0.009730481406805134,0.009730481406805134,2,11
5,40,FTS,2,2,0.8117725253105164,1,t-0__pretax_profit_margin,0.6249465346336365,-0.009293329370796535,0.009293329370796535,2,11
5,40,FTS,2,2,0.8117725253105164,1,t-0__gross_profit_margin,-0.008934568613767624,0.009249396863023207,0.009249396863023207,2,11
5,40,FTS,2,2,0.8117725253105164,1,t-0__current_ratio,-1.2267520427703857,-0.008545338857847721,0.008545338857847721,2,11
5,40,FTS,2,2,0.8117725253105164,1,t-0__operating_cashflow_ps,1.6557950973510742,-0.008345529992197795,0.008345529992197795,2,11
5,40,FTS,2,2,0.8117725253105164,1,t-0__gross_profit_margin_delta,0.0,-0.0065658883768348174,0.0065658883768348174,2,11
