rating_detail,rating_class,binary_rating,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps
B,B,0,Mercer International Inc.,MERC,Standard & Poor's Ratings Services,5/13/2013,Capital Goods,credit_rating_financial,2.5289,2.6005,0.10467599999999999,0.058749,0.058749,-0.003833,-0.014608,0.6874,-0.036684,-0.008645,-1.6492,-1.5946
B,B,0,Mercer International Inc.,MERC,Standard & Poor's Ratings Services,8/27/2014,Capital Goods,credit_rating_financial,2.6172,2.8671,0.081997,0.029089,0.029089,-0.015226,-0.024233,0.7028,-0.073979,-0.01664,-0.4108,-0.3828
B+,B,0,Mercer International Inc.,MERC,Standard & Poor's Ratings Services,11/12/2014,Capital Goods,credit_rating_financial,2.6172,2.8671,0.081997,0.029089,0.029089,-0.015226,-0.024233,0.7028,-0.073979,-0.01664,-0.4108,-0.3828
B+,B,0,Mercer International Inc.,MERC,Standard & Poor's Ratings Services,11/26/2015,Capital Goods,credit_rating_financial,3.0983,1.5699,0.17847200000000002,0.137687,0.137687,0.088666,0.096292,0.8996,0.275624,0.092607,1.6604,1.9277
BB-,BB,0,Mercer International Inc.,MERC,Standard & Poor's Ratings Services,10/20/2016,Capital Goods,credit_rating_financial,3.7235,1.6981,0.20511,0.16035900000000003,0.16035900000000003,0.101578,0.073076,0.8735,0.19714600000000002,0.063832,0.1451,-0.0196
A,A,1,Magna International Inc.,MGA,DBRS,6/8/2012,Consumer Durables,credit_rating_financial,1.5175,0.012,0.131856,0.048834,0.048834,0.049664,0.040369999999999996,1.7342,0.124861,0.072456,2.8388,2.5629
A,A,1,Magna International Inc.,MGA,DBRS,7/2/2014,Consumer Durables,credit_rating_financial,1.3667,0.0457,0.12381199999999999,0.04887,0.04887,0.056749999999999995,0.046470000000000004,1.8024,0.150772,0.083348,2.1935,2.2602
BBB+,BBB,1,Magna International Inc.,MGA,Moody's Investors Service,11/17/2015,Consumer Durables,credit_rating_financial,1.3576,0.0387,0.130558,0.053653000000000006,0.053653000000000006,0.054686000000000005,0.044811,1.9364,0.160286,0.085881,0.8715,1.1751
A,A,1,Magna International Inc.,MGA,Standard & Poor's Ratings Services,7/18/2016,Consumer Durables,credit_rating_financial,1.2932,0.1182,0.143447,0.072029,0.072029,0.07572,0.054705000000000004,1.9035,0.221607,0.106341,0.9532,0.0601
A+,A,1,Madison Gas and Electric Company,MGEE,Moody's Investors Service,6/15/2012,Public Utilities,credit_rating_financial,2.9986,0.6599,0.607657,0.19742200000000001,0.19742200000000001,0.177385,0.111512,0.3745,0.110587,0.041763,0.1947,-0.0493
AAA,AAA,1,Madison Gas & Electric Co.,MGEE,Standard & Poor's Ratings Services,12/7/2010,Public Utilities,credit_rating_financial,1.2984,0.7712,0.5409700000000001,0.15860200000000002,0.15860200000000002,0.148303,0.095532,0.4164,0.10162900000000001,0.039783,3.4073,1.1577
AAA,AAA,1,Madison Gas & Electric Co.,MGEE,Standard & Poor's Ratings Services,11/16/2011,Public Utilities,credit_rating_financial,1.9985,0.6828,0.592614,0.18138100000000001,0.18138100000000001,0.171873,0.108372,0.4041,0.109922,0.043796,0.1701,0.7837
AAA,AAA,1,Madison Gas & Electric Co.,MGEE,Standard & Poor's Ratings Services,11/15/2012,Public Utilities,credit_rating_financial,2.9986,0.6599,0.607657,0.19742200000000001,0.19742200000000001,0.177385,0.111512,0.3745,0.110587,0.041763,0.1947,-0.0493
AAA,AAA,1,Madison Gas & Electric Co.,MGEE,Standard & Poor's Ratings Services,8/14/2013,Public Utilities,credit_rating_financial,2.9412,0.6239,0.633311,0.20831,0.20831,0.19094899999999998,0.119053,0.3411,0.11122299999999999,0.040610999999999994,0.4394,-0.52
AAA,AAA,1,Madison Gas & Electric Co.,MGEE,Standard & Poor's Ratings Services,8/25/2014,Public Utilities,credit_rating_financial,2.2821,0.6535,0.603635,0.216602,0.216602,0.202685,0.126767,0.3742,0.12130200000000001,0.047436,-0.1655,-0.76
AAA,AAA,1,Madison Gas & Electric Co.,MGEE,Standard & Poor's Ratings Services,8/28/2015,Public Utilities,credit_rating_financial,2.7832,0.6164,0.581023,0.222792,0.222792,0.207314,0.129578,0.3659,0.121806,0.047409,-0.3319,0.4288
AAA,AAA,1,Madison Gas & Electric Co.,MGEE,Standard & Poor's Ratings Services,12/8/2015,Public Utilities,credit_rating_financial,2.7832,0.6164,0.581023,0.222792,0.222792,0.207314,0.129578,0.3659,0.121806,0.047409,-0.3319,0.4288
B+,B,0,"MoneyGram International, Inc.",MGI,Moody's Investors Service,6/15/2012,Finance,credit_rating_financial,1.0144,-7.3584,0.378266,0.11428100000000001,0.11428100000000001,0.031896,-0.351659,0.2411,-0.151492,0.011477,-1.9661,0.3242
B,B,0,"MoneyGram International, Inc.",MGI,Moody's Investors Service,3/19/2013,Finance,credit_rating_financial,1.0064,-5.018,0.287802,0.039069,0.039069,-0.006636,-0.036758,0.2604,0.111211,-0.009572,-2.8033,-2.7689
B,B,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,6/11/2013,Miscellaneous,credit_rating_financial,1.6121,1.3631,0.359643,0.49549580999999976,0.49417,0.360749,0.396804,0.2827,0.32735,0.11650600000000001,0.0848,-0.1634
B,B,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,9/30/2013,Miscellaneous,credit_rating_financial,1.6121,1.3631,0.359643,0.49549580999999976,0.49417,0.360749,0.396804,0.2827,0.32735,0.11650600000000001,0.0848,-0.1634
B,B,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,10/4/2013,Miscellaneous,credit_rating_financial,1.6121,1.3631,0.359643,0.49549580999999976,0.49417,0.360749,0.396804,0.2827,0.32735,0.11650600000000001,0.0848,-0.1634
B+,B,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,12/4/2013,Miscellaneous,credit_rating_financial,1.6121,1.3631,0.359643,0.49549580999999976,0.49417,0.360749,0.396804,0.2827,0.32735,0.11650600000000001,0.0848,-0.1634
BB-,BB,0,MGM RESORTS INTERNATIONAL,MGM,Egan-Jones Ratings Company,3/26/2014,Miscellaneous,credit_rating_financial,1.3019,1.6744,0.35363100000000003,0.013247,0.013247,-0.189307,-0.192962,0.3485,-0.199225,-0.061515,0.656,0.3288
