rating_detail,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,fe_leverage_liquidity,fe_cashflow_conversion,fe_cashflow_spread_ps,fe_profitability_composite,fe_earnings_quality_gap,fe_current_ratio_sector_z,fe_current_ratio_sector_year_z,fe_debt_equity_ratio_sector_z,fe_debt_equity_ratio_sector_year_z,fe_ebit_margin_sector_z,fe_ebit_margin_sector_year_z,fe_net_profit_margin_sector_z,fe_net_profit_margin_sector_year_z,fe_roa_sector_z,fe_roa_sector_year_z,fe_roe_sector_z,fe_roe_sector_year_z,fe_operating_cashflow_ps_sector_z,fe_operating_cashflow_ps_sector_year_z,fe_free_cashflow_ps_sector_z,fe_free_cashflow_ps_sector_year_z
IG,Viacom Inc.,VIA,Moody's Investors Service,9/22/2016,Public Utilities,credit_rating_financial,1.2197,1.4627,0.326578,0.083498,0.083498,0.078036,0.010791,2.2076,0.779585,0.160108,5.9227,6.1641,1.199229319,1.040758438,-0.2414,0.217442,0.072707,0.199852646,0.164450303,-0.034478887,0.071590775,-0.68438986,-0.204986557,-0.640812254,-0.177447769,2.213667332,2.353581519,1.931358958,1.271247738,2.005435462,1.666422601,2.242901261,1.915170504
IG,Viacom Inc.,VIA,Moody's Investors Service,9/29/2016,Public Utilities,credit_rating_financial,1.2197,1.4627,0.326578,0.083498,0.083498,0.078036,0.010791,2.2076,0.779585,0.160108,5.9227,6.1641,1.199229319,1.040758438,-0.2414,0.217442,0.072707,0.199852646,0.164450303,-0.034478887,0.071590775,-0.68438986,-0.204986557,-0.640812254,-0.177447769,2.213667332,2.353581519,1.931358958,1.271247738,2.005435462,1.666422601,2.242901261,1.915170504
HY,Viavi Solutions Inc.,VIAV,Egan-Jones Ratings Company,6/7/2013,Technology,corporate_rating,2.003057636,0.799672699,0.422091433,-0.017299804,-0.025919981,-0.025919981,-0.033053921,0.899759294,-0.053523296,-0.029740572,0.517826087,0.203913043,0.399226006,0.393786733,0.313913044,0.03380484,0.015754117,-0.222515101,-0.180157302,-0.029146245,0.185049304,-1.306199414,-1.133700727,-1.168597365,-0.941359054,-1.362803181,-0.99923865,-0.444029405,-0.182518006,-0.069375071,0.046972292,-0.170365207,-0.125305164
HY,Viavi Solutions Inc.,VIAV,Egan-Jones Ratings Company,10/3/2013,Technology,corporate_rating,2.963186655,0.47696547,0.414216709,-0.014848828,-0.027968275,-0.027968275,0.033991293,0.977670243,0.049082924,0.033232276,0.799148936,0.52212766,0.160963694,0.653354633,0.277021276,0.065676832,-0.048840121,0.390793444,0.475816777,-0.110929706,0.083423504,-1.322351097,-1.149775182,-0.586791228,-0.409558051,-0.375048862,-0.173627255,-0.194029115,0.040141336,0.054071283,0.207096521,-0.010101241,0.060052549
IG,Telefonica Brasil S.A.,VIV,Moody's Investors Service,9/11/2012,Public Utilities,credit_rating_financial,0.927,0.1432,0.506323,0.199026,0.199026,0.19423,0.149756,0.4448,0.100513,0.066504,-0.1736,-0.5579,0.154476807,3.213709677,0.3843,0.202196857,0.04927,-0.260573927,-0.369642302,-0.35390852,-0.351373082,0.284702335,0.106059487,0.662785212,0.736282296,0.817699676,0.744291226,0.067028228,-0.022988369,-0.341324628,-0.502306734,-0.232962806,-0.212014459
IG,Telefonica Brasil S.A.,VIV,Moody's Investors Service,8/12/2015,Public Utilities,credit_rating_financial,0.9692,0.1735,0.507923,0.145972,0.145972,0.135828,0.141048,0.479,0.109825,0.067565,-0.3964,-1.0177,0.179013619,2.567356206,0.6213,0.179161857,0.004924,-0.194191961,-0.141438388,-0.346573379,-0.438993619,-0.160334516,-0.39083824,0.581097544,0.674303734,0.841612449,1.642848198,0.092593481,0.160387283,-0.427091101,-0.613218091,-0.402317506,-0.553430271
HY,Telefonica Brasil S.A.,VIV,Moody's Investors Service,2/26/2016,Public Utilities,credit_rating_financial,0.996,0.1491,0.494994,0.130057,0.130057,0.109054,0.084897,0.3962,0.049882,0.033636,-1.5426,-0.0716,0.149698795,0.046415143,-1.471,0.147511,0.04516,-0.152034694,-0.158189543,-0.352480225,-0.249360327,-0.293835505,0.079997451,0.054358428,0.306911189,0.076922096,0.258592096,-0.071974601,-0.032471425,-0.868318798,-0.906177868,-0.053847558,-0.344837511
IG,Valero Energy Corporation,VLO,Egan-Jones Ratings Company,3/31/2014,Energy,corporate_rating,1.468947649,1.428571429,0.077914741,0.028702,0.028839608,0.028839608,0.019699581,2.921582734,0.139773895,0.057553957,10.26568266,6.352398524,0.972513507,0.618799425,3.913284136,0.05447477,0.009002419,0.091793349,0.040433936,0.333957571,0.950081175,-0.122382353,-0.870266509,0.055120784,-0.672613031,0.440025087,0.298954918,0.136938706,0.36282763,1.322879145,1.722436294,0.944520634,0.907667018
IG,Valero Energy Corporation,VLO,Egan-Jones Ratings Company,6/15/2015,Energy,corporate_rating,1.664729459,1.202930793,0.097085078,0.04510715,0.042432209,0.042432209,0.027742961,2.872535675,0.175557383,0.079692645,8.062737643,3.969581749,0.72259837,0.492336713,4.093155894,0.072864234,0.017364189,0.369012409,0.318670968,0.212930255,0.449876808,-0.0757704,-0.203708902,0.085035751,-0.078091461,0.69193133,0.715963707,0.216748779,0.484316906,0.95548182,0.763643638,0.539301971,0.433944222
IG,Valero Energy Corporation,VLO,Egan-Jones Ratings Company,12/4/2015,Energy,corporate_rating,2.03423913,1.160227992,0.158796866,0.07241128,0.068003736,0.068003736,0.045442121,1.9801096,0.194378136,0.08998038,11.28973843,8.034205231,0.570349855,0.711637854,3.255533199,0.099573751,0.026969159,0.892223037,0.865936956,0.190025668,0.400355867,0.011919867,-0.097404423,0.150862528,5.02e-05,0.808990872,0.870387544,0.258725841,0.557392568,1.49366659,1.247129413,1.230526454,1.06920028
