ticker,company_name,rating_date,sector,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,explained_class_lime_prediction_probability,lime_rule,lime_weight_for_explained_class,direction,feature_source,probability_source,lime_probability_source,xai_probability_source,proxy_mse,proxy_argmax_agreement,html_path,lime_instance_plot_path
BC,Brunswick Corporation,2016-06-22,5,210,1,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,0.34235670142302804,pretax_profit_margin <= -0.12,0.5000577989866472,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,2,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,0.34235670142302804,operating_profit_margin <= -0.24,-0.32870888503758616,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,3,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,0.34235670142302804,gross_profit_margin <= -0.74,0.0666133458212137,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,4,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,0.34235670142302804,roe <= 0.05,-0.04694447759611233,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,5,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,0.34235670142302804,-0.60 < asset_turnover <= 0.12,-0.04528894960796157,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,6,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,0.34235670142302804,free_cashflow_ps > 0.45,0.03195199048616165,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,7,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,0.34235670142302804,roa <= 0.01,-0.02704594859638762,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,8,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,0.34235670142302804,-1.13 < current_ratio <= -0.19,-0.01681628018622488,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,9,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,0.34235670142302804,net_profit_margin <= -0.05,-0.011427897477697681,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,10,tcn,TCN,0,0,0.9369651971914029,1,1,0.04429209000052051,0.34235670142302804,ebit_margin <= -0.20,-0.006210650497363238,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,1,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,0.29977168739522436,pretax_profit_margin <= -0.12,-0.494694069801045,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,2,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,0.29977168739522436,operating_profit_margin <= -0.24,0.30269633800196916,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,3,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,0.29977168739522436,roe <= 0.05,0.06606947022161165,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,4,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,0.29977168739522436,free_cashflow_ps > 0.45,-0.06321815878284891,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,5,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,0.29977168739522436,gross_profit_margin <= -0.74,-0.062013189376450104,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,6,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,0.29977168739522436,-0.60 < asset_turnover <= 0.12,0.03570194429098678,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,7,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,0.29977168739522436,ebit_margin <= -0.20,-0.03076047168278663,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
BC,Brunswick Corporation,2016-06-22,5,210,8,tcn,TCN,0,0,0.9369651971914029,2,2,0.01874271280807651,0.29977168739522436,roa <= 0.01,0.015531866226515312,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.05167219849374914,0.8485200232153222,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_test_idx_210.html,/kaggle/working/credit_rating_artifacts/tcn_financial_lime_row_unknown_all_classes_plot.png
