row_id,ticker,company_name,rating_date,sector,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,explained_class_lime_prediction_probability,lime_rule,lime_weight_for_explained_class,direction,feature_source,probability_source,lime_probability_source,xai_probability_source,proxy_mse,proxy_argmax_agreement,html_path,lime_instance_plot_path
test_001098,GILD,"GILEAD SCIENCES, INC",2013-12-13,7,1098,1,lstm,LSTM,1,HY,0.9985935693507161,1,HY,0.9985935693507161,0.6968061407836392,pretax_profit_margin <= -0.12,0.4637147933217862,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_1098.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_001098_all_classes_plot.png
test_001098,GILD,"GILEAD SCIENCES, INC",2013-12-13,7,1098,2,lstm,LSTM,1,HY,0.9985935693507161,1,HY,0.9985935693507161,0.6968061407836392,operating_profit_margin <= -0.24,-0.3417032494860819,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_1098.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_001098_all_classes_plot.png
test_001098,GILD,"GILEAD SCIENCES, INC",2013-12-13,7,1098,3,lstm,LSTM,1,HY,0.9985935693507161,1,HY,0.9985935693507161,0.6968061407836392,net_profit_margin <= -0.05,-0.08214707160763787,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_1098.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_001098_all_classes_plot.png
test_001098,GILD,"GILEAD SCIENCES, INC",2013-12-13,7,1098,4,lstm,LSTM,1,HY,0.9985935693507161,1,HY,0.9985935693507161,0.6968061407836392,roa <= 0.01,0.07834814827919256,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_1098.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_001098_all_classes_plot.png
test_001098,GILD,"GILEAD SCIENCES, INC",2013-12-13,7,1098,5,lstm,LSTM,1,HY,0.9985935693507161,1,HY,0.9985935693507161,0.6968061407836392,ebit_margin <= -0.20,0.059611266272931264,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_1098.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_001098_all_classes_plot.png
test_001098,GILD,"GILEAD SCIENCES, INC",2013-12-13,7,1098,6,lstm,LSTM,1,HY,0.9985935693507161,1,HY,0.9985935693507161,0.6968061407836392,roe <= 0.05,0.04145352880141891,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_1098.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_001098_all_classes_plot.png
test_001098,GILD,"GILEAD SCIENCES, INC",2013-12-13,7,1098,7,lstm,LSTM,1,HY,0.9985935693507161,1,HY,0.9985935693507161,0.6968061407836392,-0.74 < gross_profit_margin <= -0.13,0.0387036588652451,supports_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_1098.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_001098_all_classes_plot.png
test_001098,GILD,"GILEAD SCIENCES, INC",2013-12-13,7,1098,8,lstm,LSTM,1,HY,0.9985935693507161,1,HY,0.9985935693507161,0.6968061407836392,operating_cashflow_ps <= -0.92,-0.031884465407661794,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_1098.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_001098_all_classes_plot.png
test_001098,GILD,"GILEAD SCIENCES, INC",2013-12-13,7,1098,9,lstm,LSTM,1,HY,0.9985935693507161,1,HY,0.9985935693507161,0.6968061407836392,0.12 < asset_turnover <= 1.13,-0.028442662664167628,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_1098.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_001098_all_classes_plot.png
test_001098,GILD,"GILEAD SCIENCES, INC",2013-12-13,7,1098,10,lstm,LSTM,1,HY,0.9985935693507161,1,HY,0.9985935693507161,0.6968061407836392,0.05 < debt_equity_ratio <= 1.21,-0.012939564021235046,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_1098.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_001098_all_classes_plot.png
test_001098,GILD,"GILEAD SCIENCES, INC",2013-12-13,7,1098,1,lstm,LSTM,1,HY,0.9985935693507161,2,IG,0.0008427457152732155,0.3023214374876886,pretax_profit_margin <= -0.12,-0.4622467409930513,opposes_explained_class,original_financial_sequence_mean,test_proba,LimeTabularExplainer,test_proba,0.0530428146887642,0.8601276842716192,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_test_idx_1098.html,/kaggle/working/credit_rating_artifacts/lstm_financial_lime_row_test_001098_all_classes_plot.png
